UserID,Gender,Age,Location,ActivityLevel,AppSessions,Distance_km,CaloriesBurned
1001,Male,57,Urban,Sedentary,53.09459996003455,21.875680360877816,404.12337298823775
1002,Female,24,Urban,Moderate,98.09784578648866,44.7966928066789,919.6454206517283
1003,Female,49,Urban,Active,155.36218925183184,94.85637884377513,1982.7232047607201
1004,Female,36,Suburban,Moderate,117.92321330992446,59.91976893807392,1105.8849360634729
1005,Male,23,Urban,Active,155.14636324066691,98.97345530154774,2005.255349776372
1006,Male,37,Rural,Active,157.75772399600933,96.98741698444101,2047.5625898629337
1007,Male,44,Urban,Active,140.49286559325495,95.79855318966173,1857.1760912397363
1008,Female,54,Rural,Moderate,114.05699011976785,44.30326012915754,870.9279359080394
1009,Female,24,Urban,Moderate,98.56579976431503,46.87295282633676,933.1258399607489
1010,Female,22,Suburban,Moderate,93.57180569080859,52.57487246115213,1065.0730722679564
1011,Male,28,Urban,Moderate,82.39019780157628,50.58904033693954,1032.793122191138
1012,Female,32,Urban,Active,158.47131153523145,107.85662190226691,2055.540936690909
1013,Female,20,Rural,Sedentary,61.21394019970303,19.156835451540456,368.9353986855131
1014,Male,22,Urban,Moderate,90.88682734537926,54.234594460939135,1035.9814341223369
1015,Male,40,Suburban,Sedentary,56.964764641679814,3.0638270805411594,215.12199793898026
1016,Male,54,Suburban,Sedentary,57.953302717885514,21.248130128023643,455.1241232503247
1017,Male,26,Urban,Sedentary,32.16676514811424,24.61290981730582,522.4995586112758
1018,Female,32,Urban,Moderate,80.25458215988618,48.4504299237654,1005.4489596951918
1019,Male,20,Suburban,Sedentary,56.81146964565493,15.544747413961854,410.92078323735086
1020,Male,46,Urban,Moderate,107.4011732168112,43.86600507030159,1013.9678814106644
1021,Female,23,Suburban,Moderate,113.35556178297905,42.37469764658067,904.4662626220195
1022,Male,34,Rural,Sedentary,42.07068703631165,27.80276479958477,447.74180216341796
1023,Male,43,Urban,Sedentary,56.64686050262168,24.374354376546087,470.65224109183634
1024,Male,38,Urban,Moderate,96.24768848712047,58.89805786867505,1017.2204848791803
1025,Female,25,Suburban,Moderate,103.83894699844407,48.48503813063588,1016.2106761645996
1026,Female,38,Urban,Active,151.5452677845169,100.04977174521598,1929.2567183612337
1027,Male,28,Urban,Active,161.4149783513396,105.14891710989042,2113.0579473353732
1028,Female,55,Urban,Active,150.20468180008706,102.05726412600508,1955.9617015401686
1029,Female,25,Suburban,Moderate,89.11012388127807,49.16302359535939,1018.442993306898
1030,Male,59,Urban,Active,155.83415984603684,102.38313351871724,2040.3202281016045
1031,Female,41,Urban,Active,154.5734361421846,99.93152815046408,1933.9708284405085
1032,Male,52,Suburban,Active,144.5405478693559,97.84002085139826,1953.4320764267836
1033,Male,31,Urban,Sedentary,56.42807988842973,22.343876030567547,399.07273350023587
1034,Female,31,Urban,Active,140.9826496694934,106.49983308202026,2015.233111667736
1035,Female,27,Rural,Moderate,80.60114021194039,59.006957071376476,1128.0543769357455
1036,Female,29,Suburban,Moderate,100.55674306496726,47.539535181839014,915.5343652820111
1037,Male,55,Rural,Sedentary,55.89917232843665,14.929558334086952,257.2399967198662
1038,Male,51,Urban,Moderate,103.83342139705128,50.12120886257774,926.2000190416444
1039,Female,58,Suburban,Sedentary,48.89350851569165,21.39434209779039,410.12044343593004
1040,Male,27,Urban,Sedentary,63.160913602427414,21.77464961696325,480.78276362239785
1041,Male,34,Urban,Sedentary,55.10308006263434,19.590384625767218,379.1690978322589
1042,Female,34,Urban,Active,158.06670157459894,103.27123262686912,2032.368286502429
1043,Male,20,Urban,Sedentary,53.21515946227556,24.45669823422399,486.2282087494881
1044,Female,48,Rural,Moderate,117.03973771732034,44.83725482347805,961.6195179798926
1045,Male,18,Urban,Sedentary,40.65589148961721,18.19634720877797,348.68319319232353
1046,Female,29,Suburban,Moderate,120.6318341931558,43.43845264005215,944.1318376685815
1047,Male,56,Suburban,Sedentary,53.96091004859772,18.64186010128015,420.8435242917576
1048,Female,21,Suburban,Sedentary,69.7871068423802,16.66814296147649,354.5014542271118
1049,Female,59,Urban,Moderate,97.21431901376513,59.448884440066564,1076.6299676982587
1050,Male,30,Suburban,Moderate,109.1211477710566,59.51817135283398,1167.5188003792325
1051,Female,51,Urban,Sedentary,36.09817514608717,17.743816272165446,453.6065903781442
1052,Female,59,Urban,Sedentary,57.30106097999499,19.250047746101163,376.83434786080505
1053,Female,38,Rural,Sedentary,58.5623931959894,19.06945242622018,363.5752110780871
1054,Female,39,Urban,Active,141.4313338026737,99.09570325607466,2092.3594250464416
1055,Female,21,Urban,Moderate,103.15090233469574,55.10522853396376,1050.5577738792258
1056,Female,35,Rural,Moderate,100.02271270365516,54.93756525242231,1110.926755058751
1057,Male,22,Urban,Sedentary,67.25519404564498,18.844815321693005,462.0225364756074
1058,Male,36,Suburban,Moderate,99.62522571973041,53.771842110202094,1081.62935143378
1059,Male,19,Urban,Sedentary,57.25740075270287,24.62048970483114,417.362984864836
1060,Male,29,Urban,Sedentary,50.10678863235012,27.513489331720983,485.7765236734772
1061,Male,34,Urban,Moderate,98.55050549577419,46.30351281819728,908.5399867371294
1062,Male,27,Urban,Moderate,98.98075623027614,51.45364374481869,970.1898370199394
1063,Female,51,Urban,Sedentary,54.22611573314126,13.590739213102138,307.425751953897
1064,Male,23,Suburban,Moderate,116.56613714707257,47.481097755276046,910.700382401312
1065,Male,25,Suburban,Active,146.6393014077882,104.97193450639755,1978.4463908344267
1066,Female,28,Rural,Moderate,102.1457835371222,37.051239026711976,892.0754588241216
1067,Male,29,Urban,Moderate,117.4186162139004,55.59634836992399,1060.8688724463018
1068,Female,26,Suburban,Active,146.3369953510737,107.55064662939695,2018.625115278564
1069,Male,19,Suburban,Active,153.6711704442237,101.8302385992833,2048.1514325241683
1070,Female,25,Rural,Moderate,91.01690567743296,52.77325029244675,1095.2371990917293
1071,Female,28,Urban,Moderate,71.67267535700319,43.41390362517429,963.8931708829099
1072,Male,53,Suburban,Sedentary,47.319442315729475,27.397307167348828,520.1779073456025
1073,Male,27,Rural,Moderate,95.37105551143979,48.198562056933206,917.087537746062
1074,Female,38,Urban,Sedentary,62.19257989096647,23.372327122455488,498.5672547926047
1075,Female,37,Rural,Sedentary,34.51020338330791,15.53460699697509,321.6196660739902
1076,Female,25,Urban,Moderate,91.63950598901089,55.260951938800176,1029.5065458490865
1077,Female,53,Suburban,Sedentary,45.1212882518383,18.350580574199086,410.8227485197799
1078,Male,46,Rural,Moderate,85.06421434874034,50.65970120462576,901.075187727203
1079,Male,59,Suburban,Moderate,113.00650204369242,41.50610346076232,929.7296768360848
